,Year,Site,Postive_dogs,Num_tested_dogs,Group,Location
1,2020,Ctrl 1.1,0,0,Ctrl,Central
2,2021,Ctrl 1.1,0,2,Ctrl,Central
3,2020,Ctrl 3,1,18,Ctrl,East
4,2021,Ctrl 3,1,47,Ctrl,East
5,2022,Ctrl 3,15,36,Ctrl,East
6,2023,Ctrl 3,11,31,Ctrl,East
7,2024,Ctrl 3,19,69,Ctrl,East
8,2020,Ctrl 2,2,8,Ctrl,West
9,2021,Ctrl 2,0,25,Ctrl,West
10,2022,Ctrl 2,10,21,Ctrl,West
11,2023,Ctrl 2,10,31,Ctrl,West
12,2024,Ctrl 2,5,26,Ctrl,West
13,2020,TBRTV 1,0,35,Trt,Central
14,2021,TBRTV 1,2,69,Trt,Central
15,2022,TBRTV 1,29,51,Trt,Central
16,2023,TBRTV 1,14,38,Trt,Central
17,2024,TBRTV 1,10,47,Trt,Central
18,2020,TBRTV 2,2,27,Trt,West
19,2021,TBRTV 2,1,26,Trt,West
20,2022,TBRTV 2,4,26,Trt,West
21,2023,TBRTV 2,3,33,Trt,West
22,2024,TBRTV 2,2,15,Trt,West
23,2022,Ctrl 1.2,2,17,Ctrl,Central
24,2023,Ctrl 1.2,1,10,Ctrl,Central
25,2024,Ctrl 1.2,0,11,Ctrl,Central
26,2020,TBRTV 3,1,19,Trt,East
27,2021,TBRTV 3,0,9,Trt,East
28,2022,TBRTV 3,2,13,Trt,East
29,2023,TBRTV 3,1,12,Trt,East
30,2024,TBRTV 3,0,9,Trt,East
