,Site,Positive_mice,Num_tested_mice,Group,Location,Year
1,Ctrl 1.1,15,81,Ctrl,Central,2020
2,Ctrl 3,20,50,Ctrl,East,2020
3,Ctrl 2,36,100,Ctrl,West,2020
4,TBRTV 1,28,102,Trt,Central,2020
5,TBRTV 2,12,51,Trt,West,2020
6,TBRTV 3,13,35,Trt,East,2020
7,Ctrl 1.1,12,75,Ctrl,Central,2021
8,Ctrl 3,20,99,Ctrl,East,2021
9,Ctrl 2,35,92,Ctrl,West,2021
10,TBRTV 1,37,145,Trt,Central,2021
11,TBRTV 2,14,46,Trt,West,2021
12,TBRTV 3,33,87,Trt,East,2021
13,Ctrl 3,50,102,Ctrl,East,2022
14,Ctrl 2,44,120,Ctrl,West,2022
15,TBRTV 1,31,94,Trt,Central,2022
16,TBRTV 2,25,72,Trt,West,2022
17,Ctrl 1.2,29,90,Ctrl,Central,2022
18,TBRTV 3,66,116,Trt,East,2022
19,Ctrl 3,45,91,Ctrl,East,2023
20,Ctrl 2,64,120,Ctrl,West,2023
21,TBRTV 1,32,98,Trt,Central,2023
22,TBRTV 2,16,59,Trt,West,2023
23,Ctrl 1.2,62,133,Ctrl,Central,2023
24,TBRTV 3,70,90,Trt,East,2023
25,Ctrl 3,38,80,Ctrl,East,2024
26,Ctrl 2,86,147,Ctrl,West,2024
27,TBRTV 1,30,92,Trt,Central,2024
28,TBRTV 2,44,80,Trt,West,2024
29,Ctrl 1.2,58,127,Ctrl,Central,2024
30,TBRTV 3,47,86,Trt,East,2024
