,Site,Year,Positive_protection,Num_tested_protection,Group,Location
1,Ctrl 1.1,2020,8,65,Ctrl,Central
2,Ctrl 1.1,2021,3,62,Ctrl,Central
3,Ctrl 3,2020,6,45,Ctrl,East
4,Ctrl 3,2021,4,85,Ctrl,East
5,Ctrl 3,2022,8,98,Ctrl,East
6,Ctrl 3,2023,4,88,Ctrl,East
7,Ctrl 3,2024,9,81,Ctrl,East
8,Ctrl 2,2020,5,90,Ctrl,West
9,Ctrl 2,2021,5,77,Ctrl,West
10,Ctrl 2,2022,1,110,Ctrl,West
11,Ctrl 2,2023,4,123,Ctrl,West
12,Ctrl 2,2024,12,149,Ctrl,West
13,TBRTV 1,2020,9,75,Trt,Central
14,TBRTV 1,2021,16,124,Trt,Central
15,TBRTV 1,2022,19,82,Trt,Central
16,TBRTV 1,2023,5,80,Trt,Central
17,TBRTV 1,2024,10,85,Trt,Central
18,TBRTV 2,2020,3,53,Trt,West
19,TBRTV 2,2021,7,38,Trt,West
20,TBRTV 2,2022,8,78,Trt,West
21,TBRTV 2,2024,14,68,Trt,West
22,Ctrl 1.2,2022,2,73,Ctrl,Central
23,Ctrl 1.2,2023,1,120,Ctrl,Central
24,Ctrl 1.2,2024,3,116,Ctrl,Central
25,TBRTV 3,2020,8,30,Trt,East
26,TBRTV 3,2021,8,74,Trt,East
27,TBRTV 3,2022,34,92,Trt,East
28,TBRTV 3,2023,8,81,Trt,East
29,TBRTV 3,2024,19,84,Trt,East
30,TBRTV 2,2023,0,54,Trt,West
