,Site,Positive_ticks_drag,Num_tested_ticks_drag,Group,Location,Year
1,Ctrl 3,1,6,Ctrl,East,2020
2,Ctrl 2,2,37,Ctrl,West,2020
3,TBRTV 1,1,7,Trt,Central,2020
4,TBRTV 2,2,16,Trt,West,2020
5,TBRTV 3,5,13,Trt,East,2020
6,Ctrl 1.1,0,3,Ctrl,Central,2020
7,Ctrl 3,3,15,Ctrl,East,2021
8,Ctrl 2,2,8,Ctrl,West,2021
9,TBRTV 1,5,13,Trt,Central,2021
10,TBRTV 2,2,22,Trt,West,2021
11,TBRTV 3,6,29,Trt,East,2021
12,Ctrl 1.1,0,9,Ctrl,Central,2021
13,Ctrl 3,1,14,Ctrl,East,2022
14,Ctrl 2,3,44,Ctrl,West,2022
15,TBRTV 1,2,19,Trt,Central,2022
16,TBRTV 2,7,81,Trt,West,2022
17,Ctrl 1.2,1,51,Ctrl,Central,2022
18,TBRTV 3,4,27,Trt,East,2022
19,Ctrl 3,2,31,Ctrl,East,2023
20,Ctrl 2,4,28,Ctrl,West,2023
21,TBRTV 1,8,25,Trt,Central,2023
22,TBRTV 2,6,42,Trt,West,2023
23,Ctrl 1.2,4,23,Ctrl,Central,2023
24,TBRTV 3,12,61,Trt,East,2023
25,Ctrl 3,6,35,Ctrl,East,2024
26,Ctrl 2,6,35,Ctrl,West,2024
27,TBRTV 1,4,34,Trt,Central,2024
28,TBRTV 2,3,35,Trt,West,2024
29,Ctrl 1.2,5,35,Ctrl,Central,2024
30,TBRTV 3,6,33,Trt,East,2024
