,Site,Positive_ticks_mice,Num_tested_ticks_mice,Group,Location,Year
1,Ctrl 3,2,9,Ctrl,East,2020
2,Ctrl 2,11,34,Ctrl,West,2020
3,TBRTV 1,4,14,Trt,Central,2020
4,TBRTV 2,8,21,Trt,West,2020
5,TBRTV 3,3,10,Trt,East,2020
6,Ctrl 1.1,0,3,Ctrl,Central,2020
7,Ctrl 1.1,2,13,Ctrl,Central,2021
8,Ctrl 3,10,33,Ctrl,East,2021
9,Ctrl 2,10,20,Ctrl,West,2021
10,TBRTV 1,10,29,Trt,Central,2021
11,TBRTV 2,4,12,Trt,West,2021
12,TBRTV 3,28,86,Trt,East,2021
13,Ctrl 3,15,61,Ctrl,East,2022
14,Ctrl 2,16,42,Ctrl,West,2022
15,TBRTV 1,6,28,Trt,Central,2022
16,TBRTV 2,10,26,Trt,West,2022
17,Ctrl 1.2,7,25,Ctrl,Central,2022
18,TBRTV 3,32,113,Trt,East,2022
19,Ctrl 3,14,39,Ctrl,East,2023
20,Ctrl 2,25,63,Ctrl,West,2023
21,TBRTV 1,8,26,Trt,Central,2023
22,TBRTV 2,17,40,Trt,West,2023
23,Ctrl 1.2,30,98,Ctrl,Central,2023
24,TBRTV 3,69,182,Trt,East,2023
25,Ctrl 3,5,26,Ctrl,East,2024
26,Ctrl 2,11,39,Ctrl,West,2024
27,TBRTV 1,3,26,Trt,Central,2024
28,TBRTV 2,10,34,Trt,West,2024
29,Ctrl 1.2,18,39,Ctrl,Central,2024
30,TBRTV 3,13,55,Trt,East,2024
